split,label,seq_length
train,abnormal,8091
train,abnormal,9136
train,abnormal,13145
train,abnormal,13373
train,abnormal,13742
train,abnormal,1513758
train,abnormal,12258
train,abnormal,11407
train,abnormal,11361
train,abnormal,11018
train,abnormal,10254
train,abnormal,11060
train,abnormal,12778
train,abnormal,12420
train,abnormal,13600
train,abnormal,13286
train,abnormal,37000
train,abnormal,12174
train,abnormal,11420
train,abnormal,43
train,abnormal,4077
train,abnormal,3018
train,abnormal,36
train,abnormal,50
train,abnormal,111
train,abnormal,28
train,abnormal,13821
train,abnormal,35
train,abnormal,3091
train,abnormal,105
train,abnormal,32
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,3881
train,abnormal,38
train,abnormal,36
train,abnormal,84
train,abnormal,37
train,abnormal,9381
train,abnormal,10279
train,abnormal,9469
train,abnormal,9733
train,abnormal,9477
train,abnormal,9388
train,abnormal,8024
train,abnormal,7982
train,abnormal,14058
train,abnormal,8334
train,abnormal,8446
train,abnormal,14112
train,abnormal,16491
train,abnormal,8946
train,abnormal,16519
train,abnormal,8587
train,abnormal,9439
train,abnormal,7668
train,abnormal,9280
train,abnormal,7936
train,abnormal,9208
train,abnormal,8277
train,abnormal,7912
train,abnormal,8440
train,abnormal,7252
train,abnormal,9724
train,abnormal,9160
train,abnormal,4981
train,abnormal,7693
train,abnormal,8878
train,abnormal,5105
train,abnormal,8698
train,abnormal,19748
train,abnormal,9659
train,abnormal,9850
train,abnormal,10411
train,abnormal,14286
train,abnormal,9146
train,abnormal,10992
train,abnormal,10236
train,abnormal,7887
train,abnormal,13665
train,abnormal,33
train,abnormal,60
train,abnormal,33
train,abnormal,33
train,abnormal,78
train,abnormal,33
train,abnormal,34
train,abnormal,34
train,abnormal,4459
train,abnormal,34
train,abnormal,34
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,37
train,abnormal,34
train,abnormal,31
train,abnormal,34
train,abnormal,37
train,abnormal,34
train,abnormal,37
train,abnormal,34
train,abnormal,31
train,abnormal,34
train,abnormal,184165
train,abnormal,276983
train,abnormal,789930
train,abnormal,31
train,abnormal,1942557
train,abnormal,468932
train,abnormal,575127
train,abnormal,373935
train,abnormal,645226
train,abnormal,45605
train,abnormal,296063
train,abnormal,288830
train,abnormal,6626402
train,abnormal,536717
train,abnormal,1626274
train,abnormal,30229
train,abnormal,911161
train,abnormal,938298
train,abnormal,373478
train,abnormal,448031
train,abnormal,48560
train,abnormal,770079
train,abnormal,132294
train,abnormal,293166
train,abnormal,345997
train,abnormal,245530
train,abnormal,61381
train,abnormal,177234
train,abnormal,93873
train,abnormal,66468
train,abnormal,81524
train,abnormal,216145
train,abnormal,1389357
train,abnormal,92104
train,abnormal,828305
train,abnormal,1408241
train,abnormal,721611
train,abnormal,208733
train,abnormal,31
train,abnormal,111083
train,abnormal,222154
train,abnormal,74200
train,abnormal,44418
train,abnormal,1066931
train,abnormal,1209751
train,abnormal,140528
train,abnormal,600798
train,abnormal,176328
train,abnormal,1045081
train,abnormal,34770
train,abnormal,52702
train,abnormal,118267
train,abnormal,1474954
train,abnormal,293292
train,abnormal,98861
train,abnormal,31
train,abnormal,589339
train,abnormal,386452
train,abnormal,613047
train,abnormal,622305
train,abnormal,1668079
train,abnormal,242428
train,abnormal,31
train,abnormal,304243
train,abnormal,137825
train,abnormal,198419
train,abnormal,3657687
train,abnormal,4524125
train,abnormal,617642
train,abnormal,533658
train,abnormal,62317
train,abnormal,160847
train,abnormal,897888
train,abnormal,365045
train,abnormal,969494
train,abnormal,253472
train,abnormal,71811
train,abnormal,361410
train,abnormal,78869
train,abnormal,555337
train,abnormal,332218
train,abnormal,533192
train,abnormal,5173896
train,abnormal,90300
train,abnormal,674835
train,abnormal,486024
train,abnormal,620042
train,abnormal,2157796
train,abnormal,473238
train,abnormal,31
train,abnormal,695048
train,abnormal,187506
train,abnormal,385433
train,abnormal,606122
train,abnormal,423564
train,abnormal,392887
train,abnormal,597438
train,abnormal,212896
train,abnormal,1262217
train,abnormal,309718
train,abnormal,503642
train,abnormal,311009
train,abnormal,199943
train,abnormal,941965
train,abnormal,300991
train,abnormal,531798
train,abnormal,643506
train,abnormal,347004
train,abnormal,2015442
train,abnormal,160837
train,abnormal,1505881
train,abnormal,1243796
train,abnormal,1482298
train,abnormal,951643
train,abnormal,1947335
train,abnormal,113232
train,abnormal,264294
train,abnormal,1300432
train,abnormal,1195530
train,abnormal,12952691
train,abnormal,34
train,abnormal,709110
train,abnormal,546064
train,abnormal,4530187
train,abnormal,652495
train,abnormal,40
train,abnormal,4642074
train,abnormal,492699
train,abnormal,215298
train,abnormal,3156750
train,abnormal,55688
train,abnormal,1812024
train,abnormal,31
train,abnormal,173876
train,abnormal,1649635
train,abnormal,1416832
train,abnormal,1419738
train,abnormal,223567
train,abnormal,813249
train,abnormal,206795
train,abnormal,917389
train,abnormal,14630177
train,abnormal,14931236
train,abnormal,34
train,abnormal,14117025
train,abnormal,13794331
train,abnormal,13357139
train,abnormal,13321220
train,abnormal,13130797
train,abnormal,13422373
train,abnormal,32
train,abnormal,13069565
train,abnormal,12884399
train,abnormal,2804337
train,abnormal,12572300
train,abnormal,15082220
train,abnormal,12679498
train,abnormal,12194311
train,abnormal,12110012
train,abnormal,12657141
train,abnormal,11734779
train,abnormal,12064631
train,abnormal,11521837
train,abnormal,329285
train,abnormal,15301693
train,abnormal,10414566
train,abnormal,11786236
train,abnormal,11977131
train,abnormal,11041782
train,abnormal,10938061
train,abnormal,31
train,abnormal,5715198
train,abnormal,9933258
train,abnormal,43
train,abnormal,10229241
train,abnormal,295015
train,abnormal,9477040
train,abnormal,15069319
train,abnormal,14580617
train,abnormal,128
train,abnormal,95
train,abnormal,69
train,abnormal,3653
train,abnormal,95
train,abnormal,5125
train,abnormal,69
train,abnormal,128
train,abnormal,95
train,abnormal,65
train,abnormal,69
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,33
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,141
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,141
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,104
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,29
train,abnormal,8296
train,abnormal,1497
train,abnormal,2685
train,abnormal,5420
train,abnormal,5433
train,abnormal,13386
train,abnormal,4314
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,136
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,11030
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,6285
train,abnormal,37
train,abnormal,37
train,abnormal,37
train,abnormal,37
train,abnormal,37
train,abnormal,5823
train,abnormal,5965
train,abnormal,37
train,abnormal,37
train,abnormal,5448109
train,abnormal,9720163
train,abnormal,61
train,abnormal,29
train,abnormal,563946
train,abnormal,10779775
train,abnormal,10225340
train,abnormal,6190472
train,abnormal,4363258
train,abnormal,14263
train,abnormal,5830638
train,abnormal,5689238
train,abnormal,5859281
train,abnormal,5476931
train,abnormal,5130149
train,abnormal,5087011
train,abnormal,4787639
train,abnormal,4058042
train,abnormal,38
train,abnormal,38
train,abnormal,31
train,abnormal,31
train,abnormal,31
train,abnormal,2305007
train,abnormal,2110078
train,abnormal,14339166
train,abnormal,12241912
train,abnormal,9301856
train,abnormal,11883657
train,abnormal,11779692
train,abnormal,12949459
train,abnormal,4992220
train,abnormal,4695373
train,abnormal,1304051
train,abnormal,36
train,abnormal,3630
train,abnormal,32
train,abnormal,4424
train,abnormal,40883
train,abnormal,10486
train,abnormal,9186
train,abnormal,1202
train,abnormal,1173
train,abnormal,1277
train,abnormal,36
train,abnormal,37
train,abnormal,36
train,abnormal,37
train,abnormal,37
train,abnormal,37
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,36
train,abnormal,61
train,abnormal,8847
train,abnormal,7143
train,abnormal,7159
train,abnormal,7162
train,abnormal,7162
train,abnormal,32
train,abnormal,6969389
train,abnormal,32
train,abnormal,7150
train,abnormal,32
train,abnormal,32
train,abnormal,22658714
train,abnormal,32
train,abnormal,32
train,abnormal,4762220
train,abnormal,32
train,abnormal,7146
train,abnormal,7159
train,abnormal,32
train,abnormal,32
train,abnormal,32
train,abnormal,34
train,abnormal,7162
train,abnormal,7140
train,abnormal,7143
train,abnormal,32
train,abnormal,7159
train,abnormal,11921769
train,abnormal,8847
train,abnormal,32
train,abnormal,32
train,abnormal,7143
train,abnormal,32
train,abnormal,7143
train,abnormal,32
train,abnormal,32
train,abnormal,32
train,abnormal,7150
train,abnormal,7143
train,abnormal,7150
train,abnormal,7162
train,abnormal,32
train,abnormal,4154979
train,abnormal,7150
train,abnormal,6031710
train,abnormal,7137
train,abnormal,7136
train,abnormal,7147
train,abnormal,7136
train,abnormal,32
train,abnormal,7150
train,abnormal,32
train,abnormal,7162
train,abnormal,7140
train,abnormal,32
train,abnormal,32
train,abnormal,7140
train,abnormal,7150
train,abnormal,7147
train,abnormal,34
train,abnormal,7137
train,abnormal,7143
train,abnormal,7150
train,abnormal,7159
train,abnormal,11341728
train,abnormal,32
train,abnormal,32
train,abnormal,34
train,abnormal,34
train,abnormal,35
train,abnormal,34
train,abnormal,34
train,abnormal,1576
train,abnormal,34
train,abnormal,34
train,abnormal,34
train,abnormal,34
train,abnormal,34
train,abnormal,34
train,abnormal,34
train,abnormal,35
train,abnormal,34
train,abnormal,34
train,abnormal,36
train,abnormal,36
train,abnormal,37
train,abnormal,37
train,abnormal,37
train,abnormal,37
train,abnormal,37
train,abnormal,34
train,abnormal,35
train,abnormal,34
train,abnormal,34
train,abnormal,34
train,abnormal,34
train,abnormal,34
train,abnormal,37
train,abnormal,36
train,abnormal,71
train,abnormal,37
train,abnormal,36
train,abnormal,131
train,abnormal,36
train,abnormal,37
train,abnormal,32109
train,abnormal,45332
train,abnormal,28503
train,abnormal,25797
train,abnormal,22813
train,abnormal,3548
train,abnormal,5615
train,abnormal,13166
train,abnormal,30
train,abnormal,30
train,abnormal,30
train,abnormal,30
train,abnormal,4213
train,abnormal,3591
train,abnormal,102
train,abnormal,3851
train,abnormal,4827
train,abnormal,4749
train,abnormal,2784
train,abnormal,20541
train,abnormal,11724
train,abnormal,30
train,abnormal,1266
train,abnormal,1237
train,abnormal,1279
train,abnormal,84
train,abnormal,1241
train,abnormal,1212
train,abnormal,1241
train,abnormal,1241
train,abnormal,48
train,abnormal,48
train,abnormal,567
train,abnormal,567
train,abnormal,567
train,abnormal,567
train,abnormal,567
train,abnormal,567
train,abnormal,567
train,abnormal,567
train,abnormal,567
train,abnormal,567
