label,seq_length
normal,2256
normal,3442
normal,2467
normal,3657
normal,1939
normal,4722
normal,6604
normal,5502
normal,1274
normal,5915
normal,5127
normal,3873
normal,1555
normal,1715
normal,6356
normal,3636
normal,4496
normal,2562
normal,4380
normal,6422
normal,4023
normal,2015
normal,5119
normal,4679
normal,3725
normal,2903
normal,3872
normal,6288
normal,3219
normal,3264
normal,4334
normal,2906
normal,5863
normal,3957
normal,3244
normal,4915
normal,4124
normal,3686
normal,4582
normal,2788
normal,3451
normal,2600
normal,3003
normal,4815
normal,3297
normal,2969
normal,2327
normal,4747
normal,2537
normal,2591
normal,4090
normal,3829
normal,3324
normal,5002
normal,2421
normal,5358
normal,4005
normal,2487
normal,3418
normal,3721
normal,1686
normal,2720
normal,1938
normal,2307
normal,2729
normal,2789
normal,2748
normal,4285
normal,2093
normal,1068
normal,4298
normal,2904
normal,5567
normal,3403
normal,1929
normal,2918
normal,4281
normal,4112
normal,1279
normal,3537
normal,5238
normal,5854
normal,2759
normal,4863
normal,2133
normal,7098
normal,5193
normal,3334
normal,4188
normal,2262
normal,4082
normal,4400
normal,4428
normal,3660
normal,4960
normal,2213
normal,3103
normal,5886
normal,2601
normal,2587
normal,3408
normal,4293
normal,5906
normal,3355
normal,1919
normal,3832
normal,2261
normal,3710
normal,3278
normal,3075
normal,1762
normal,4305
normal,2130
normal,2490
normal,4550
normal,3586
normal,4376
normal,1688
normal,306
normal,2191
normal,1857
normal,1424
normal,4474
normal,5334
normal,4644
normal,2937
normal,7516
normal,6012
normal,1975
normal,1862
normal,6792
normal,4511
normal,3418
normal,2264
normal,4090
normal,3271
normal,4161
normal,1284
normal,4214
normal,5209
normal,3082
normal,3845
normal,1882
normal,4059
normal,6490
normal,4803
normal,1967
normal,5934
normal,2183
normal,3028
normal,1546
normal,3604
normal,2228
normal,2646
normal,1910
normal,1474
normal,5531
normal,4059
normal,5124
normal,2020
normal,2163
normal,2181
normal,6413
normal,4264
normal,2772
normal,3533
normal,2872
normal,2234
normal,5158
normal,2318
normal,5857
normal,4104
normal,1837
normal,6293
normal,5226
normal,2420
normal,2587
normal,3582
normal,3432
normal,4815
normal,3641
normal,1793
normal,5615
normal,3105
normal,5283
normal,2637
normal,4076
normal,4287
normal,5446
normal,1414
normal,4506
normal,2105
normal,1864
normal,4799
normal,5745
normal,1897
normal,6257
normal,5108
normal,2228
normal,2146
normal,1565
normal,2389
normal,3009
normal,6085
normal,4899
normal,3933
normal,5408
normal,2210
normal,2696
normal,3536
normal,3581
normal,1185
normal,5272
normal,3663
normal,1340
normal,5321
normal,1585
normal,4990
normal,4158
normal,1677
normal,4976
normal,5638
normal,5962
normal,3638
normal,5959
normal,6508
normal,2405
normal,5864
normal,1183
normal,4011
normal,6714
normal,4410
normal,2409
normal,2238
normal,3925
normal,2661
normal,4031
normal,3219
normal,4766
normal,5089
normal,1519
normal,4707
normal,2002
normal,2667
normal,5130
normal,1129
normal,3710
normal,5547
normal,2703
normal,3954
normal,4430
normal,4022
normal,4057
normal,3380
normal,4846
normal,2305
normal,1749
normal,2601
normal,2109
normal,6671
normal,4280
normal,1875
normal,2194
normal,3562
normal,1701
normal,3823
normal,1777
normal,3580
normal,5142
normal,1768
normal,3762
normal,4573
normal,3391
normal,3664
normal,4201
normal,4996
normal,4124
normal,3357
normal,3928
normal,4439
normal,3422
normal,2915
normal,2933
normal,4483
normal,6576
normal,5556
normal,2866
normal,1261
normal,4002
normal,2524
normal,4515
normal,3343
normal,5075
normal,3443
normal,4174
normal,1264
normal,7083
normal,1023
normal,1040
normal,1932
normal,4570
normal,2200
normal,3659
normal,4622
normal,2407
normal,3728
normal,3426
normal,4297
normal,3836
normal,4080
normal,3661
normal,908
normal,1365
normal,2677
normal,3359
normal,3322
normal,1412
normal,2866
normal,2809
normal,1852
normal,4397
normal,2963
normal,4035
normal,1456
normal,4782
normal,3304
normal,2604
normal,3887
normal,2985
normal,1704
normal,6662
normal,2066
normal,4947
normal,3676
normal,3335
normal,4609
normal,3888
normal,1473
normal,1739
normal,5366
normal,2757
normal,1781
normal,3575
normal,5888
normal,911
normal,4649
normal,1346
normal,1446
normal,1713
normal,5408
normal,959
normal,6201
normal,3166
normal,3876
normal,1454
normal,5182
normal,5187
normal,4425
normal,2127
normal,3020
normal,3535
normal,1863
normal,7603
normal,5486
normal,4125
normal,4264
normal,2034
normal,5286
normal,4090
normal,2284
normal,4062
normal,1457
normal,1931
normal,6602
normal,1861
normal,2404
normal,1771
normal,4001
normal,2219
normal,3578
normal,2195
normal,1305
normal,3765
normal,5076
normal,4984
normal,3964
normal,4428
normal,3922
normal,1115
normal,3982
normal,3495
normal,2681
normal,3545
normal,2850
normal,3045
normal,5803
normal,1932
normal,4122
normal,5831
normal,2488
normal,2576
normal,2594
normal,2894
normal,1746
normal,2582
normal,3645
normal,6062
normal,999
normal,4812
normal,1329
normal,2006
normal,3627
normal,4155
normal,5089
normal,1361
normal,1834
normal,4005
normal,5876
normal,3032
normal,3719
normal,4217
normal,2652
normal,3282
normal,6314
normal,4313
normal,2888
normal,2071
normal,3293
normal,1879
normal,3272
normal,3207
normal,3714
normal,4152
normal,3710
normal,5199
normal,1545
normal,5510
normal,3846
normal,6190
normal,1387
normal,4842
normal,2705
normal,2527
normal,5600
normal,4267
normal,3183
normal,3103
normal,2593
normal,3720
normal,3744
normal,2787
normal,5425
normal,1638
normal,4469
normal,7375
normal,2509
normal,1713
normal,2113
normal,3007
normal,4212
normal,2319
normal,4555
normal,3324
normal,4245
normal,5405
normal,3442
normal,1619
normal,2107
normal,2069
normal,2276
normal,3786
normal,1734
normal,2406
normal,5407
normal,1816
normal,1658
normal,2558
normal,1605
normal,3960
normal,3732
normal,3978
normal,2377
normal,6743
normal,2569
normal,1996
normal,2702
normal,2878
normal,6048
normal,3725
normal,3741
normal,2141
normal,4963
normal,3976
normal,4009
normal,3145
normal,6657
normal,2940
normal,1895
normal,4053
normal,956
normal,5911
normal,5244
normal,5480
normal,2496
normal,2062
normal,1325
normal,1638
normal,6651
normal,8105
normal,1468
normal,2386
normal,6017
normal,4792
normal,1358
normal,3576
normal,5255
normal,2693
normal,5643
normal,3753
normal,4970
normal,2519
normal,3997
normal,2534
normal,4889
normal,1827
normal,3519
normal,4393
normal,1856
normal,3642
normal,3346
normal,3139
normal,7141
normal,2161
normal,3110
normal,5701
normal,2310
normal,4530
normal,1859
normal,3087
normal,3396
normal,2375
normal,2193
normal,2482
normal,837
normal,5329
normal,931
normal,4020
normal,4254
normal,2850
normal,972
normal,3226
normal,5373
normal,5758
normal,3478
normal,5146
normal,1902
normal,3576
normal,3113
normal,5554
normal,6265
normal,5056
normal,3197
normal,3953
normal,1799
normal,4194
normal,5088
normal,3434
normal,3223
normal,1730
normal,3568
normal,4879
normal,3464
normal,4165
normal,1766
normal,4825
normal,2895
normal,3625
normal,2633
normal,3185
normal,7280
normal,3170
normal,1932
normal,4324
normal,4684
normal,1302
normal,6079
normal,2144
normal,4762
normal,5161
normal,2359
normal,5819
normal,3959
normal,4548
normal,4723
normal,2243
normal,4370
normal,2977
normal,4132
normal,3339
normal,3609
normal,2727
normal,2926
normal,4736
normal,3087
normal,1343
normal,2537
