split,seq_length
train,11468
train,6825
train,16024
train,7177
train,10773
train,7327
train,4193
train,10649
train,4867
train,12663
train,11227
train,6447
train,9201
train,6419
train,2689
train,2030
train,5145
train,8497
train,11040
train,11932
train,5816
train,2151
train,12860
train,7900
train,6971
train,94
train,9686
train,4543
train,7427
train,11350
train,7874
train,6695
train,11246
train,4259
train,5109
train,6245
train,5744
train,8627
train,2944
train,7202
train,6093
train,10490
train,1808
train,7208
train,7680
train,3882
train,11386
train,10543
train,5989
train,11326
train,4924
train,5567
train,14077
train,14543
train,3661
train,8112
train,5962
train,8912
train,7530
train,8957
train,1944
train,7440
train,17163
train,11192
train,4776
train,13906
train,10728
train,11168
train,11712
train,3541
train,9502
train,5644
train,13154
train,5760
train,12342
train,9815
train,7487
train,7624
train,11586
train,9070
train,12313
train,4669
train,6879
train,5192
train,6111
train,14357
train,5779
train,8401
train,2810
train,5338
train,4199
train,4858
train,5705
train,17469
train,18608
train,12123
train,11619
train,6970
train,6039
train,4450
train,94
train,7156
train,10527
train,4930
train,19311
train,10077
train,4587
train,10581
train,7068
train,10599
train,8145
train,3727
train,5788
train,11449
train,8560
train,3872
train,5294
train,11194
train,10449
train,10078
train,8719
train,8872
train,10689
train,4741
train,10481
train,10142
train,3694
train,7581
train,4731
train,9670
train,4518
train,9267
train,15289
train,12832
train,12310
train,2122
train,4148
train,13217
train,11933
train,11573
train,3786
train,6007
train,8890
train,3006
train,10396
train,3055
train,6995
train,6386
train,6172
train,7862
train,13181
train,10321
train,9617
train,15027
train,9023
train,4531
train,6625
train,12647
train,6844
train,4153
train,7216
train,15274
train,14628
train,12448
train,8297
train,9214
train,5915
train,12269
train,7509
train,8990
train,12471
train,2603
train,8003
train,13191
train,11824
train,8406
train,5614
train,5730
train,11794
train,2744
train,3528
train,6759
train,5668
train,2528
train,6484
train,8019
train,9269
train,14786
train,10341
train,8184
train,14204
train,8934
train,6301
train,8854
train,11319
train,8935
train,9364
train,4458
train,6317
train,8562
train,4734
train,4279
train,92
train,90
train,92
train,90
train,92
train,88
train,92
train,88
train,10015
train,12314
train,10441
train,4287
train,8721
train,3381
train,7748
train,6428
train,6192
train,10152
train,9495
train,5273
train,11256
train,4450
train,8449
train,198
train,7132
train,5005
train,5839
train,9126
train,5011
train,10946
train,6275
train,5470
train,6375
train,5187
train,10109
train,13534
train,6143
train,9851
train,11750
train,3882
train,9271
train,17497
train,9032
train,11461
train,11314
train,7200
train,10798
train,6098
train,6468
train,14460
train,5690
train,7541
train,12729
train,7258
train,9890
train,6641
train,10122
train,10644
train,7984
train,9898
train,9545
train,7638
train,11433
train,3053
train,5450
train,12912
train,9698
train,10828
train,6232
train,11085
train,3661
