split,syscall,count
train,futex,170706354
train,epoll_wait,123586295
train,sched_yield,43305595
train,read,41076593
train,lstat,38121206
train,fcntl,31545485
train,stat,31420072
train,fstat,20325249
train,lseek,19767216
train,newfstatat,19436758
train,open,18283126
train,write,17593118
train,close,13267188
train,getpid,10316964
train,mprotect,9311783
train,mmap,7014465
train,brk,6498905
train,epoll_ctl,5657636
train,recvfrom,5170826
train,gettid,4320376
val,futex,43610663
val,epoll_wait,33715723
val,sched_yield,11877341
val,read,10464204
val,lstat,10090858
val,fcntl,7293427
val,stat,7569899
val,fstat,4968469
val,lseek,4967692
val,newfstatat,4737036
val,open,4614710
val,write,4325799
val,close,3375464
val,getpid,2437121
val,mprotect,2235664
val,mmap,1735245
val,brk,1640551
val,epoll_ctl,1499328
val,recvfrom,1315481
val,gettid,891055
test,futex,689802128
test,epoll_wait,509494340
test,sched_yield,182664439
test,read,167945328
test,lstat,152828570
test,fcntl,129956789
test,stat,125230993
test,fstat,81398067
test,lseek,80100247
test,newfstatat,76554230
test,open,73195260
test,write,71306529
test,close,469949974
test,getpid,41136162
test,mprotect,38038414
test,mmap,28299443
test,brk,26042884
test,epoll_ctl,21847159
test,recvfrom,21622718
test,gettid,17729342
