split,per_thread_len
train,86
train,11382
train,86
train,6739
train,90
train,15934
train,90
train,7087
train,88
train,10685
train,90
train,7237
train,90
train,4103
train,88
train,10561
train,90
train,4777
train,88
train,12575
train,86
train,11141
train,88
train,6359
train,88
train,9113
train,90
train,6329
train,82
train,2607
train,90
train,1940
train,84
train,5061
train,90
train,8407
train,10954
train,86
train,90
train,11842
train,90
train,5726
train,90
train,2061
train,86
train,12774
train,88
train,7812
train,90
train,6881
train,90
train,4
train,88
train,9598
train,88
train,4455
train,90
train,7337
train,90
train,11260
train,86
train,7788
train,86
train,6609
train,80
train,11166
train,86
train,4173
train,90
train,5019
train,84
train,6161
train,84
train,5660
train,90
train,8537
train,78
train,2866
train,88
train,7114
train,90
train,6003
train,90
train,10400
train,90
train,1718
train,82
train,7126
train,84
train,7596
train,88
train,3794
train,90
train,11296
train,86
train,10457
train,82
train,5907
train,90
train,11236
train,84
train,4840
train,90
train,5477
train,88
train,13989
train,84
train,14459
train,88
train,3573
train,86
train,8026
train,90
train,5872
train,90
train,8822
train,88
train,7442
train,90
train,8867
train,86
train,1858
train,86
train,7354
train,88
train,17075
train,84
train,11108
train,88
train,4688
train,13816
train,90
train,82
train,10646
train,11082
train,86
train,90
train,11622
train,90
train,3451
train,90
train,9412
train,88
train,5556
train,86
train,13068
train,90
train,5670
train,90
train,12252
train,90
train,9725
train,84
train,7403
train,90
train,7534
train,90
train,11496
train,84
train,8986
train,90
train,12223
train,90
train,4579
train,84
train,6795
train,90
train,5102
train,90
train,6021
train,14273
train,84
train,88
train,5691
train,90
train,8311
train,90
train,2720
train,88
train,5250
train,90
train,4109
train,86
train,4020
train,752
train,88
train,5617
train,90
train,17379
train,82
train,18526
train,82
train,12041
train,90
train,11529
train,88
train,6882
train,90
train,5949
train,84
train,4366
train,90
train,4
train,90
train,7066
train,90
train,10437
train,86
train,4844
train,90
train,19221
train,80
train,9997
train,82
train,4505
train,84
train,10497
train,90
train,6978
train,90
train,10509
train,90
train,8055
train,90
train,3637
train,5706
train,82
train,88
train,11361
train,90
train,8470
train,90
train,3782
train,80
train,5214
train,90
train,11104
train,90
train,10359
train,88
train,9990
train,86
train,8633
train,8759
train,113
train,90
train,10599
train,84
train,4657
train,78
train,10403
train,86
train,10056
train,88
train,3606
train,90
train,7491
train,82
train,4649
train,84
train,9586
train,90
train,4428
train,84
train,9183
train,90
train,15199
train,86
train,12746
train,10682
train,114
train,1514
train,90
train,2032
train,90
train,4058
train,13129
train,88
train,88
train,11845
train,86
train,11487
train,88
train,3698
train,90
train,5917
train,86
train,8804
train,109
train,2897
train,113
train,10283
train,88
train,2967
train,90
train,6905
train,84
train,6302
train,90
train,6082
train,88
train,7774
train,13093
train,88
train,90
train,10231
train,9533
train,84
train,84
train,14943
train,90
train,8933
train,82
train,4449
train,90
train,6535
train,90
train,12557
train,84
train,6760
train,88
train,4065
train,90
train,7126
train,86
train,15188
train,90
train,14538
train,86
train,12362
train,90
train,8207
train,88
train,9126
train,88
train,5827
train,90
train,12179
train,82
train,7427
train,88
train,8902
train,80
train,12391
train,90
train,2513
train,90
train,7913
train,88
train,13103
train,90
train,11734
train,84
train,8322
train,5526
train,88
train,5642
train,88
train,86
train,11708
train,86
train,2658
train,82
train,3446
train,86
train,6673
train,90
train,5578
train,86
train,2442
train,90
train,6394
train,82
train,7937
train,90
train,9179
train,90
train,14696
train,86
train,10255
train,88
train,8096
train,88
train,14116
train,90
train,8844
train,80
train,6221
train,86
train,8768
train,84
train,11235
train,90
train,8845
train,84
train,9280
train,84
train,4374
train,90
train,6227
train,88
train,8474
train,86
train,4648
train,90
train,4189
train,88
train,4
train,86
train,4
train,88
train,4
train,86
train,4
train,88
train,4
train,84
train,4
train,88
train,4
train,84
train,4
train,10015
train,12314
train,10441
train,4287
train,8721
train,3381
train,7748
train,6428
train,6192
train,10152
train,9495
train,5273
train,11256
train,4450
train,8449
train,198
train,7132
train,5005
train,5839
train,9126
train,5011
train,10946
train,6275
train,5470
train,6375
train,5187
train,10109
train,13534
train,6143
train,9851
train,11750
train,3882
train,9271
train,17497
train,9032
train,11461
train,11314
train,7200
train,10798
train,6098
train,6468
train,14460
train,5690
train,7541
train,12729
train,7258
train,9890
train,6641
train,10122
train,10644
train,7984
train,9898
train,9545
train,7638
train,11433
train,3053
train,5450
train,12912
train,9698
train,10828
train,6232
train,11085
train,3661
train,6297
train,6680
train,11259
train,8683
train,8438
train,8706
train,12049
train,4182
train,7963
train,4898
train,11191
train,11448
train,6798
train,13109
train,9262
train,11378
train,7045
train,4083
train,8039
train,8580
train,7831
train,9734
train,8669
train,7473
train,6497
train,10603
train,9855
train,7835
train,5995
train,7840
train,10193
train,8597
train,10756
train,6035
train,14707
train,5200
train,11534
train,8806
train,13469
train,4225
train,6324
train,6750
train,14335
train,11367
train,13313
train,11084
train,10899
train,6116
train,10520
train,8786
train,4086
train,6288
train,5349
train,7411
train,11007
train,5254
train,18252
train,8327
train,10510
train,198
train,8963
train,6667
train,6425
train,4035
train,5434
train,9656
train,6741
train,5123
train,12560
train,7842
train,6130
train,12652
train,5687
train,11173
train,4676
train,10575
train,10092
train,8037
train,6693
train,7874
train,12434
train,5100
train,4097
train,9080
train,4972
train,4264
train,10356
train,4492
train,10175
train,8083
train,9000
train,6266
train,4718
train,8390
train,3297
train,9947
train,10038
train,8144
train,5363
train,2970
train,8570
train,7660
train,11759
train,6172
train,9429
train,7243
train,2842
train,8392
train,10374
train,13282
train,9990
train,2947
train,6378
train,8199
train,4814
train,10562
train,4102
train,6739
train,12664
train,12921
train,9591
train,6054
train,9318
train,9894
train,3227
train,4657
train,3565
train,9449
train,9615
train,3187
train,10466
train,5659
train,9017
train,10077
train,8328
train,7717
train,13199
train,10645
train,4108
train,198
train,198
train,198
train,198
train,198
train,198
train,198
train,198
train,2294
train,113
train,90
train,796
train,1906
train,90
train,90
train,380
train,2194
train,90
train,90
train,731
train,90
train,2523
train,2842
train,88
train,2170
train,111
train,2532
train,113
train,1797
train,113
train,991
train,88
train,142
train,2444
train,88
train,90
train,2346
train,90
train,650
train,4276
train,113
train,955
train,90
train,90
train,824
train,90
train,464
train,2385
train,90
train,113
train,1628
train,90
train,464
train,88
train,2934
train,90
train,4
train,90
train,2289
train,90
train,2462
train,2430
train,90
train,3547
train,86
train,3961
train,136
train,575
train,90
train,90
train,1185
train,90
train,1033
train,90
train,2859
train,90
train,1331
train,4699
train,90
train,2219
train,90
train,1470
train,90
train,1165
train,88
train,2553
train,113
train,1837
train,113
train,90
train,344
train,88
train,1450
train,2941
train,90
train,1813
train,90
train,90
train,2532
train,871
train,90
train,90
train,835
train,1650
train,90
train,90
